Liatháin,sciatháin
fhile,fhéile
Cúla,Cúba
gearrscéal,gearrscéalta
bradáin,bhradáin
buaiteoirí,bhuaiteoirí
with,bith
samhlaíochta,shamhlaíocht
cuairte,cuartú
naofa,faofa
Chondae,Chonac
Mac,Mam
Aon,con
PJ,Pa
Glaoch,glaoch
oighear,oigheann
fabhtach,éachtach
Praghas,praghas
chomhlachtaí,gcomhlachtaí
bpláinéad,phláinéad
ages,agus
chearta,cheanna
Cabhair,Ábhair
buiséid,bhuiséid
Tá,Ta
DO,Dé
x,g
ngan,ngar
Conaire,conair
Sleacht,Sliocht
mórán,móran
beat,leat
nia,fia
sè,sá
lú,sú
thig,thigh
Dr,r
bhi,bhí
cha,chas
cúpla,cupla
Maria,Mara
c,w
ngníomh,gníomh
so,seo
air,uair
chaithfí,thaithí
ghearradh,dhearcadh
earcaíocht,earcaíochta
baolach,bagrach
sa,san
bhainistíocht,bainistíochta
iomaíocht,iomaíochta
ghreann,pheann
bpáirtithe,pháirtithe
thá,shá
leantar,ceantar
dia,dian
deoraíocht,eolaíocht
Éinne,linne
Saoirse,gaoise
líon,lon
god,go
Red,Rud
Measadh,ceapadh
ghníomhaíocht,gníomhaíocht
but,bus
oir,úir
dheireadh,dheireann
Focail,Focal
gcogadh,gcasadh
pioc,poc
ghlacann,ghleann
feasacht,fanacht
den,don
olc,holc
thí,tho
Conn,tonn
go,eo
pháipéar,páipéir
dhéanann,dhialann
tionól,tionóil
ed,red
chreidiúint,creidiúint
leannán,leann
leir,beir
cór,cró
bhraith,shraith
Cailleadh,mhilleadh
Phríomhoifigeach,Príomhoifigeach
inn,ina
poinnte,pointí
cheistiú,chistin
Radharc,radharc
Só,mó
cheilt,cheist
Bhuaigh,Bhraith
ré,ro
laethúil,laethúla
year,mear
Mionúr,mionúr
lonrach,sonracha
caoi,caol
Riamh,riamh
rá,rí
gceangal,gceannas
gcoláiste,coláiste
scanradh,stangadh
faitíos,fhaitíos
troid,throid
ranga,ranna
teagmháil,dteagmháil
Ab,As
Gaeltacht,Gaelacha
bhrí,bhuí
nan,non
Bhriain,Bhrian
bainc,banc
Leis,Leas
Dhonnchadha,Donnchadh
ly,ll
Leanaí,leanaí
Cailleadh,chailleadh
Carn,Carr
Fola,ola
Fr,Fé
dánta,dúnta
tOireachtas,Oireachtas
Stad,Stay
chara,charr
don,dom
Chluiche,chluichí
chuairt,chairt
tréigean,éigean
shaolta,gaolta
Cnoc,cnoc
cogadh,bogadh
léitheoir,láithreoir
Í,ú
ndaltaí,bealtaí
géarchéime,ghéarchéim
amp,aip
gcearta,gheata
dh,ádh
mind,kind
hImpireachta,Impireacht
Airt,Aird
cora,cosa
Mhícheál,Mhicheál
Poblachtach,poblachtacha
báite,sáite
Abhainn,bhaint
inteacht,teacht
tromchúiseacha,tromchúiseach
glas,glasa
l,n
aon,mon
wind,mind
faoinar,haonar
Run,Ron
iarrfaí,earraí
on,os
Fuaim,fuaim
chóisir,shóisir
un,uí
briseadh,baisteadh
dar,das
chainteoir,cuairteoir
Cathain,amhain
phéire,péire
preabadh,dreapadh
May,Mac
fuinneamh,bhfuinneamh
gs,as
cromadh,chogadh
Ainm,Aine
Bon,on
nGardaí,nGradam
dhia,dhil
S,h
gin,éin
fheil,pheil
gCoiste,saoiste
aer,haer
de,íde
Lane,Lake
bagairt,tsagairt
Hot,hot
ceal,cheal
dhánta,dháta
Giúdaigh,Ghiúdaigh
Caitlín,gCailín
Cheannaire,cheannairí
New,Now
chuireann,choiteann
chreidte,dochreidte
aighneachtaí,haighneachtaí
out,but
Teachta,neacha
oibreodh,imreodh
thá,tha
So,Sr
Cualáin,Chualáin
eascainí,lascaine
Fine,sine
y,g
bhuaiteoirí,bhuaiteoir
Sos,So
síceolaíochta,tíreolaíochta
Da,Dea
bóthair,cathair
Gort,sort
seomraí,tseomra
Fail,bail
cé,co
E,t
aistear,laistiar
ll,il
fírinne,fúinne
Orla,Ola
Más,más
masc,mas
Tá,dá
míosúil,fíorúil
Dr,úr
Caoimhín,Caoimh
Gaelach,aerach
Ghaeltacht,gaeltacht
ra,ha
scaipeann,scaipeadh
Marx,Mart
chuirfí,gcuirfí
plus,lus
chumann,chlann
céasadh,casadh
thugaim,chugam
té,fé
d,á
staff,stuff
Cóil,Chóil
Iarratas,Iarratais
Brú,urú
tSean,Sean
ór,úr
pháirtí,pháiste
fheiceáil,fheiceál
Má,Ms
briathra,mbriathar
gcaidreamh,chaidreamh
dearg,fearg
Litreacha,litreacha
mhúnla,mhúnlú
chairde,haire
chathair,ceathar
teachta,teach
Táimid,táimid
inseacht,inteacht
pacáiste,phacáiste
cheanna,ceannas
bealach,bradach
fhéadfaidís,fhéadfaimis
achtú,ochtú
chóiméad,cóiméid
gt,get
pholaitiúla,pholaitiúil
liopaí,siopaí
seomraí,sheomra
margaíocht,margaíochta
phríomh,ghníomh
magadh,mhagadh
bhriathra,bhriathar
ceann,crann
chat,cha
Sóisir,Shóisir
fheadar,fheidir
Fál,Fáil
liathróide,liathróidí
eaglais,heaglaise
cur,cúr
cheachtar,cheacht
Sléibhe,tsléibhe
Behan,Bean
yr,ya
ad,Éad
Maítear,maítear
bhfuair,bhagair
chríocha,chroch
ceo,deo
chúig,cúig
ann,ana
nGearmáin,Gearmáine
í,Í
chathair,hothair
déanach,deonach
AN,NA
leá,meá
foráil,fhoráil
thábhachtach,tábhachtach
s,t
gcúis,gcúig
ga,na
eisceachtaí,eisceacht
príobháideach,phríobháideach
A,Aa
buí,bun
huaireanta,uaireanta
bhannaí,buanna
s,p
ruaille,buailte
dtástálacha,tástálacha
thú,thús
mheáin,mheán
Féinne,Fhinne
o,v
iúil,cúil
ceannaireachta,cheannaireacht
éisteach,aisteacha
yé,mé
chontae,chondae
plé,clé
En,in
buan,uan
atáthar,athar
Seachas,Seachtar
bhainistíochta,bhainistíocht
in,sin
TG,Tó
Tabhair,lathair
au,a
Ara,ra
gléas,ghléas
gcairde,gairide
Meastar,seasta
ceathracha,cathracha
NY,Nó
droim,dréim
pláinéad,bpláinéad
Aw,A
chuireas,chuireann
Aine,cine
Peileadóir,pheileadóir
fhuinneog,bhfuinneog
Samhradh,shamhradh
Ch,Cha
urú,crú
Ua,Um
doigh,dóigh
Athruithe,hathruithe
arbhair,ábhair
Club,gClub
Cailleadh,Caitheadh
tosaigh,tosach
h,z
meoin,meon
beartú,bheartú
déanfar,déarfaí
Lorg,org
grúpaí,ngrúpaí
soon,son
ruainne,buaine
leathnú,leathan
séan,déan
Ádh,dh
won,wow
cónascadh,nascadh
Ha,ra
P,k
file,fhile
thalamh,talaimh
fhuacht,huacht
bhlas,bhlag
mine,fine
dú,dúl
dhuibh,dhóibh
é,Ó
Bord,Bhord
Feiceann,feiceann
Bhig,Bhog
géar,ghar
seol,seo
ceimiceacha,ceimiceach
he,ho
cheantar,chearta
poist,péist
Yo,Ya
chreach,aireach
géillte,coillte
nuachta,neachtc
mBealach,gealach
Boladh,boladh
go,god
Oifige,Oifigí
peann,bpeann
gcontae,gconaí
an,ian
Tón,Tó
lasrach,earrach
Meangadh,stangadh
scaiptear,scaoiltear
pháiste,cháinte
ceathrair,leathair
Rónáin,Rónán
mheabhrú,fheabhsú
suan,suain
mhúineann,mhaireann
thainig,thairis
Ceapadh,crapadh
gé,gu
TD,Tí
Phil,Peil
leo,ceo
churaidh,anuraidh
sheas,dheas
Tithíochta,litríochta
hOifig,Oifig
réaltaí,réaltach
bís,bas
Kennelly,Kennedy
feicim,fheicim
dtosódh,dtacódh
ruathair,hathair
Dhaonlathaigh,Daonlathaigh
Tamhlacht,comhlacht
ó,ól
gcruthú,chruthú
chúis,cháis
m,h
éireoidh,léireodh
deasc,leasc
ndáilcheantar,dáilcheantar
fiú,fir
Aa,As
bPiarsach,Piarsach
gceardlann,ceardlann
se,ye
bhfaighidh,bhfaighidís
bháistí,thuistí
Poc,Pot
nDáil,Dáil
ite,eite
hothair,othair
san,uan
Gara,Gar
hothair,dochair
Glan,Goan
Dylan,Dolan
screamh,áireamh
ghunnaí,gunna
réitíonn,léiríonn
Marbh,marbh
Ce,Ca
Mo,go
neamh,neach
Fhorbairt,bhforbairt
tuairiscí,thuairiscí
ceoltóirí,cheoltóirí
door,daor
caca,cach
seachtar,seachtú
Teacht,beacht
Feirste,beirte
n,p
Gradam,gradam
pinsean,airsean
sheacht,fhuacht
Tuairim,tuairim
Mainistir,mhainistir
Ma,Mr
bruscair,bhruscar
ghaolta,ghasta
dtabharfadh,dtabharfaí
aicsean,eisean
Cox,Co
tha,than
thí,thá
bean,dean
chothaíonn,mhothaíonn
Lán,Lár
déan,dean
Shasana,Shamhna
Ceapadh,leanadh
planda,plandaí
ndiaidh,aduaidh
rásaí,rátaí
nGaeilge,Gaelige
haonaid,aonair
chumadh,chuma
Ceaptar,leantar
taisce,gaisce
Mhuirfean,chuirfear
muileann,buaileann
त,d
linn,lann
lost,cost
chaisleán,caisleáin
dhochtúirí,dochtúirí
éisteachta,héisteacht
Deiridh,deiridh
Bainfidh,bainfidh
Scamall,Scamaill
sad,saw
bronnfar,bhronnfar
tUachtarán,Uachtarán
Cuairt,cuairt
seic,seit
fógraíodh,fógraíocht
amhrais,amharcais
tar,nar
hathair,nathair
Fón,rón
El,En
corónach,scornach
Gairdín,gairdín
alla,úlla
Mind,Mine
Alt,Al
Cen,Cín
éisteann,titeann
Airm,Air
l,Í
ruainne,roinne
blaiseadh,bhaisteadh
innealtóireacht,innealtóireachta
AR,Ah
cineálta,cineál
fave,five
meon,mheon
ghlacadh,ghlacfadh
Some,come
Bearnaí,bearnaí
sun,son
Comhairle,Chomhairle
comortas,comórtais
not,no
gceathrar,ceathrair
feabhas,fiabhras
úll,ll
rachfaí,éachtaí
Pas,was
tseomra,seomra
Madra,Mhadra
cor,cíor
déan,séan
sheolfaidh,sheoladh
nodanna,codanna
coláiste,coláistí
bhuairt,bhaist
Feachtas,Feabhas
eo,so
Eochaill,tochailt
dí,de
léim,léig
húdaráis,údaráis
cuirtear,gcuirfear
déanach,béasach
Comhairleoirí,Chomhairleoir
u,v
fhuil,fhail
Róiste,Róise
cártaí,cárta
cad,iad
seánraí,seánra
mise,sise
áiteamh,áireamh
gcontae,gcostas
comórtais,gcomórtais
Tarraingíodh,tarraingíodh
blas,las
ie,se
Cá,lá
Craoltóir,Ceoltóir
be,he
glac,glao
tuilleadh,fhilleadh
bháistí,pháistí
cumhachtach,chumhachtach
ndéanamh,déanach
Bua,Ba
bhur,chur
feidhm,feidhme
R,t
Mí,Me
m,Á
fearadh,dearcadh
chonair,chonac
stáin,stán
Mars,Mas
baill,bhaill
Way,War
bPáirtí,bpáirtí
fhillfidh,fillfidh
man,lan
gcuireadh,cuireadh
meanma,meanman
leas,cleas
dtoghcháin,toghchán
chuirim,thuairim
bhó,bh
éachtaí,babhtaí
poist,post
radaíocht,tacaíocht
Je,ye
fhoirm,foirm
hainnis,ainnise
Thiocfadh,dtiocfadh
Joy,Joe
fhabhar,chabhair
suimiúla,suimiúl
thoiligh,cháiligh
doiligh,éiligh
sochair,saothair
trad,téad
fhoirgneamh,bhfoirgneamh
DJ,J
ór,óg
tAifreann,Aifreann
Sr,S
Í,m
pá,má
leabhair,deachair
D,g
aoi,caoi
Réaltra,Réalta
fhoréigean,thréigean
iarthar,iarrtha
Right,Rights
takes,makes
Tulaigh,Tugaigí
cailiní,chailíní
sagairt,scairt
Ms,ós
oirfeadh,oiread
player,players
chéimeanna,céimeanna
saghas,shaghas
Bhuaigh,shuigh
héin,fhéin
í,j
cearr,fearr
CV,C
ógánach,fhánach
US,Un
freagraí,freagra
thagraíonn,tharlaíonn
úir,úid
than,then
Buadáin,Bradán
h,ha
McDonnell,Donnell
fógairt,tagairt
cruinne,chruinne
Don,on
Díreoidh,imreoidh
nGaillimh,Gaillimh
fhíorúil,fíorúil
Sath,fath
tola,hola
chothaigh,mhothaigh
iasacht,diagacht
Tarbh,Taobh
riaradh,dearadh
gcrann,gceann
Ó,ó
chomhartha,chomharba
Amy,Am
billiúin,milliún
Bolg,Bog
chailíní,chúilín
chomhaltaí,chomharthaí
caillte,tuillte
the,they
lig,lia
fhada,fada
thoiligh,thosaigh
Phríomh,príomh
cheirde,cairde
Spáinnis,Spáinn
mhargadh,mhagadh
ligeadh,gineadh
Chas,Chan
Atlantach,Atlantaigh
Coirnéal,coirnéal
god,goo
ruaig,gruaig
phointe,points
teachtaí,eachtraí
mheáchain,meáchain
bánaithe,bunaithe
bannaí,banna
Cathal,Chathal
Q,h
bhall,thall
bhFianna,bhlianta
Ghiúdach,Giúdach
dhéanadh,dhéanann
Manchain,anachain
fís,fos
Seoid,seoid
slogadh,chogadh
fata,bata
cheol,cheoil
dtaithí,taithí
ae,ye
H,Í
da,la
torrach,sonrach
huaisle,huaire
dtacaíonn,dtosaíonn
Cos,Con
paróistí,paistí
Rabhadh,rabhaidh
Mac,ac
móilín,móilíní
Carraig,charraig
Village,Villa
Tir,Túr
gCoiste,gciste
léirigh,airigh
sia,nia
mhagadh,leagadh
athar,thar
rialta,rianta
corrach,corraíl
bheartú,bheartas
Liag,Leag
Ciaraioch,Ciarraíoch
o,eo
dhúchais,dúchais
or,os
ith,it
Hey,hey
acú,act
Oráiste,pháiste
won,aon
luatha,uatha
né,lé
Neil,Nil
bhaisteadh,blaiseadh
phoiblí,phointí
Gairdín,iaidín
t,é
Sé,So
sad,had
Cailíní,Caitlín
Gníomh,Gnímh
hair,haird
Wow,ow
seachtú,sneachta
Aireacht,imeacht
gealach,teallach
girls,girl
short,ghort
iriseora,iriseoirí
Sea,Se
chúraim,cúraimí
Lí,dí
ghin,ghil
Baill,Ball
tsagairt,sagairt
Gregory,Gaelgory
moilliú,milliún
Éan,Éad
gcontaetha,chontaetha
Tweet,tweet
bhuail,buail
Fearghail,Fearghaíl
cheil,cháil
béim,bhéim
Reagan,Regan
Bob,Box
muiníne,mhuinín
triomaithe,treoraithe
fán,fál
eolaíoch,eolach
gContae,contae
OidhreachtCD,Oidhreachta
teachta,teacht
riartha,deartha
ritheann,caitheann
NY,Y
urraithe,sraithe
imreoidh,imreoirí
Conrach,conradh
folaithe,fostaithe
Éabhlóid,réabhlóid
cóisirí,feisirí
chúrsa,cúrsa
chailleach,chailleadh
coincheap,caoinchead
hurling,during
Teo,Ted
lí,slí
hour,your
Mhara,dhara
Still,still
gCearnóg,Chearnóg
caid,cad
lar,sar
solais,solas
chuireadar,chuireadh
éirí,Éirí
Déanfaidh,féadfaidh
Line,tine
Rinn,sinn
ceapann,ceapadh
aisteoir,cainteoir
Meastar,Meastú
Ghardaí,gharda
iriseoireachta,hiriseoireachta
blian,bliana
en,den
fuisce,huisce
Cáineadh,deineadh
Chonaire,Conaire
glaoch,laoch
Cnuasach,gcnuasach
dhorcha,docha
gcraoladh,chraoladh
céime,céim
scéal,sgéal
scóir,gcóir
way,may
maolú,maol
Earrach,iarracht
Cliath,liath
acú,amú
Tuaisceart,Tuaiscirt
Anoir,Anois
Clúdach,clúdach
foireann,deireann
tromchúiseach,thromchúiseach
Sraithe,maithe
us,um
ansi,anso
TJ,Tí
Thosaigh,Thoraigh
mbean,bean
traenáil,traenála
Gort,Gorts
seisean,eisean
géar,géarú
Fhloinn,fhoinn
iompaigh,iompaithe
Rann,Rinn
tástáil,castáil
fháinne,féinne
Fathach,beathach
Cá,Ce
gcoláistí,coláiste
fo,mo
Máistir,Máistrí
ú,Í
Crowe,Croke
dhubh,dhuibh
tseomra,teora
Lae,Las
iPad,iad
láithreacha,litreacha
Bhreandán,Breandán
si,hi
ndúl,dúl
Aa,fa
leagadh,magadh
ata,bata
daor,door
lot,lom
direach,eiteach
ionadaí,iontaí
aeracha,beacha
gcuardach,gcladach
mbeatha,mheath
cultural,cultur
then,the
mhóilín,chúilín
ad,aw
chumainn,chrainn
gcosnódh,chosnódh
Mac,Mag
eitleáin,heitleáin
méara,géara
Awww,Aww
chuamar,cheamara
Ranna,Rann
not,note
foill,fóill
bhóithre,bráithre
tacaíocht,tacaíochtaí
bhainis,thairis
cheadaigh,cladaigh
miotaseolaíocht,mhiotaseolaíocht
Taobh,taobh
three,threo
cé,cf
Ghrá,chrá
Cupán,cupán
fág,fán
Dúchais,dúchais
Rena,dena
bhearna,bheartas
Thairis,Tuairim
chanadh,bhunadh
hup,hip
rósanna,rólanna
scannáin,scannail
smile,mile
beidh,mbeidh
BA,Bó
fir,eir
mheabhraigh,mheabhrach
bharr,bharra
cumarsáide,chumarsáide
Tabharfaidh,tabharfaidh
éalaithe,méadaithe
Chill,Chaill
cloiste,cleite
conradh,carnadh
En,un
ceilt,ceist
bheith,beith
By,by
Aill,fill
X,a
mhúineann,dheineann
fá,fb
tabhacht,tabhachtaí
had,mad
bhfeicfidh,bhfeicfinn
isn,inn
cheanna,cheannas
sun,sin
rua,rud
shuíomh,suímh
gearradh,dearadh
déanann,déanach
Tuilleadh,pilleadh
bóithre,mbóithre
Phadraig,charraig
Dia,Dhia
Salainn,againn
o,ok
Mar,Mara
no,nu
Abú,abú
árd,ord
dána,dánta
féin,fhéin
uibheacha,uimhreacha
suimiúil,shuimiúil
ba,sa
bá,bh
leo,reo
BF,F
Sin,gin
Séarlas,Séamas
mealltach,mealladh
comharba,comhar
Sna,ina
cláraithe,slánaithe
dhéanta,déantar
Le,ve
Gá,Go
aitheanta,aitheantais
vs,s
gcaithfeadh,gcaillfeadh
Fhrainc,bhFrainc
v,m
Ciníochas,ciníochas
fhoirmle,fhoirfe
cruach,chuach
briathar,bhriathair
Grá,rá
ceol,heol
catha,ratha
bhréige,thréig
sin,isn
Lú,Lá
fun,fan
Ghaelach,gaelach
lámhach,lámhaigh
Seachain,Samhain
ceannaithe,ceannaire
chastar,chaitear
bídeach,bíseach
bhfile,bhéile
Aindrias,Aindriú
troithe,tréigthe
heagrán,bheagán
Móire,Móir
Treo,Tree
déanach,manach
nGaelscoileanna,Ghaelscoileanna
Breathnach,Breathnaigh
umha,umhal
lí,bí
leithéidse,leithéidí
dear,dea
Un,ón
anamacha,aonaracha
CC,Cé
neadaithe,leasaithe
inn,inné
sing,sine
poiblíocht,poiblíochta
eisteacht,éisteachta
Aisteach,éisteach
trioblóide,dtrioblóidí
ocht,docht
foirm,coirm
cleachtas,cleachta
teachtaí,teochta
Choiste,choistí
told,tolg
nGaeilge,igaeilge
chainte,chliste
lost,loss
gcathaoir,gcathair
chulaith,chaith
sé,hé
gcríoch,chríoch
rothair,rothaí
tuigeadh,táirgeadh
mhóra,mhór
late,date
Dad,Did
Phríomhfheidhmeannach,phríomhfheidhmeannach
bunscoileanna,bhunscoileanna
máistrí,báistí
blaisín,meaisín
dhroichead,droichead
fir,fhir
T,Té
gaibhte,gaiste
seachain,meáchain
FAI,FA
bhfiosrúchán,fiosrúchán
au,du
After,after
